E:\College\Self_Driving\simulator\Data\IMG\center_2019_02_17_16_24_05_404.jpg, E:\College\Self_Driving\simulator\Data\IMG\left_2019_02_17_16_24_05_404.jpg, E:\College\Self_Driving\simulator\Data\IMG\right_2019_02_17_16_24_05_404.jpg,0,0,0,7.83E-05
E:\College\Self_Driving\simulator\Data\IMG\center_2019_02_17_16_24_05_505.jpg, E:\College\Self_Driving\simulator\Data\IMG\left_2019_02_17_16_24_05_505.jpg, E:\College\Self_Driving\simulator\Data\IMG\right_2019_02_17_16_24_05_505.jpg,0,0,0,8.14E-05
E:\College\Self_Driving\simulator\Data\IMG\center_2019_02_17_16_24_05_609.jpg, E:\College\Self_Driving\simulator\Data\IMG\left_2019_02_17_16_24_05_609.jpg, E:\College\Self_Driving\simulator\Data\IMG\right_2019_02_17_16_24_05_609.jpg,0,0,0,7.81E-05
E:\College\Self_Driving\simulator\Data\IMG\center_2019_02_17_16_24_05_710.jpg, E:\College\Self_Driving\simulator\Data\IMG\left_2019_02_17_16_24_05_710.jpg, E:\College\Self_Driving\simulator\Data\IMG\right_2019_02_17_16_24_05_710.jpg,0,0.1677514,0,0.08680627
E:\College\Self_Driving\simulator\Data\IMG\center_2019_02_17_16_24_05_812.jpg, E:\College\Self_Driving\simulator\Data\IMG\left_2019_02_17_16_24_05_812.jpg, E:\College\Self_Driving\simulator\Data\IMG\right_2019_02_17_16_24_05_812.jpg,0,0.4744357,0,0.4576475
E:\College\Self_Driving\simulator\Data\IMG\center_2019_02_17_16_24_05_913.jpg, E:\College\Self_Driving\simulator\Data\IMG\left_2019_02_17_16_24_05_913.jpg, E:\College\Self_Driving\simulator\Data\IMG\right_2019_02_17_16_24_05_913.jpg,0,0.7691988,0,1.23977
E:\College\Self_Driving\simulator\Data\IMG\center_2019_02_17_16_24_06_014.jpg, E:\College\Self_Driving\simulator\Data\IMG\left_2019_02_17_16_24_06_014.jpg, E:\College\Self_Driving\simulator\Data\IMG\right_2019_02_17_16_24_06_014.jpg,0,1,0,2.302031
E:\College\Self_Driving\simulator\Data\IMG\center_2019_02_17_16_24_06_115.jpg, E:\College\Self_Driving\simulator\Data\IMG\left_2019_02_17_16_24_06_115.jpg, E:\College\Self_Driving\simulator\Data\IMG\right_2019_02_17_16_24_06_115.jpg,0,1,0,3.447187
E:\College\Self_Driving\simulator\Data\IMG\center_2019_02_17_16_24_06_216.jpg, E:\College\Self_Driving\simulator\Data\IMG\left_2019_02_17_16_24_06_216.jpg, E:\College\Self_Driving\simulator\Data\IMG\right_2019_02_17_16_24_06_216.jpg,0,1,0,4.619968
E:\College\Self_Driving\simulator\Data\IMG\center_2019_02_17_16_24_06_318.jpg, E:\College\Self_Driving\simulator\Data\IMG\left_2019_02_17_16_24_06_318.jpg, E:\College\Self_Driving\simulator\Data\IMG\right_2019_02_17_16_24_06_318.jpg,0,1,0,5.779639
